Date,Adj.Close,Volume,Open,High,Low
09/13/21,160.32,7520949.00,160.25,162.99,154.79
09/10/21,165.20,3985251.00,166.95,168.24,165.01
09/09/21,166.00,5935754.00,163.00,166.97,160.83
09/08/21,163.93,5866501.00,163.23,166.55,161.60
09/07/21,165.00,11017030.00,159.72,165.74,159.55
09/03/21,158.00,4460935.00,158.05,160.64,157.20
09/02/21,157.20,3302257.00,156.50,159.46,156.50
09/01/21,156.59,4324746.00,154.84,158.64,154.29
08/31/21,154.99,7403951.00,155.94,158.15,153.58
08/30/21,156.02,3968745.00,154.41,157.49,151.92
08/27/21,154.18,4818820.00,152.25,156.44,151.45
08/26/21,152.73,7242951.00,159.34,159.50,151.45
08/25/21,160.35,7267704.00,158.76,163.06,158.00
08/24/21,161.42,22096780.00,147.00,161.98,146.50
08/23/21,146.79,4727431.00,144.90,147.63,144.15
08/20/21,143.70,2996182.00,142.00,143.95,141.50
08/19/21,142.65,4732393.00,143.79,145.28,141.92
08/18/21,146.74,5190073.00,144.02,148.68,141.70
08/17/21,143.90,7855110.00,145.00,148.20,143.58
08/16/21,148.57,7720442.00,151.99,152.03,144.90
08/13/21,152.76,16789080.00,146.66,152.76,144.51
08/12/21,151.15,8925109.00,148.86,151.68,146.55
08/11/21,148.16,6717728.00,147.54,149.28,145.16
08/10/21,147.95,5149830.00,149.37,150.76,147.85
08/09/21,149.44,5541924.00,148.74,151.00,148.70
08/06/21,149.99,4043474.00,148.99,150.19,147.55
08/05/21,150.32,4737513.00,146.67,150.41,146.40
08/04/21,147.40,4631430.00,145.10,147.46,145.01
08/03/21,145.65,5491010.00,147.73,147.79,143.28
08/02/21,145.49,4522437.00,143.85,146.27,143.40
07/30/21,144.01,4167130.00,141.75,144.69,141.74
07/29/21,143.47,5005450.00,143.65,145.00,141.71
07/28/21,143.30,4466785.00,141.31,143.73,141.03
07/27/21,141.58,5113147.00,141.26,142.52,138.31
07/26/21,142.00,6489516.00,139.13,142.19,137.20
07/23/21,138.73,2811110.00,139.80,140.00,137.41
07/22/21,139.47,4628360.00,141.29,141.29,137.66
07/21/21,139.25,5269631.00,136.71,140.15,135.73
07/20/21,136.09,6274608.00,132.75,137.44,131.70
07/19/21,131.88,7215671.00,131.36,133.77,130.31
07/16/21,134.31,6094631.00,139.69,139.79,133.51
07/15/21,137.50,6576068.00,139.18,140.52,136.54
07/14/21,139.09,8545476.00,143.86,144.20,139.04
07/13/21,143.41,5871457.00,147.70,147.70,143.00
07/12/21,146.69,3276273.00,148.99,150.42,146.01
07/09/21,149.64,7065139.00,143.30,150.26,143.30
07/08/21,142.53,4827157.00,140.43,143.73,139.53
07/07/21,143.72,5650921.00,148.15,148.94,143.60
07/06/21,148.37,5069422.00,150.08,152.80,147.81
07/02/21,150.23,4844712.00,153.31,154.95,149.56
07/01/21,153.08,9793859.00,154.50,157.41,151.41
